"Salaire mensuel brut selon le domaine d'activité"

"Année","Grande région","Domaine d'activité","Niveau de qualification","Homme","Femme"
"2010","Suisse orientale (GL, SH, AR, AI, SG, GR, TG)","Restauration, arts manuels","Niveau de qualification - Total",5634,X
"2010","Suisse orientale (GL, SH, AR, AI, SG, GR, TG)","SERVICES","Niveau de qualification - Total",6542,4935
"2010","Suisse orientale (GL, SH, AR, AI, SG, GR, TG)","Définition des buts et de la stratégie de l'entreprise","Niveau de qualification - Total",11086,7729
"2010","Suisse orientale (GL, SH, AR, AI, SG, GR, TG)","Comptabilité, gestion du personnel","Niveau de qualification - Total",8501,6104
"2010","Suisse orientale (GL, SH, AR, AI, SG, GR, TG)","Secrétariat, travaux de chancellerie","Niveau de qualification - Total",6143,5511
"2010","Suisse orientale (GL, SH, AR, AI, SG, GR, TG)","Autres activités commerciales et administratives","Niveau de qualification - Total",6740,5308
"2010","Suisse orientale (GL, SH, AR, AI, SG, GR, TG)","Logistique, tâches d'état-major","Niveau de qualification - Total",6575,5350
"2010","Suisse orientale (GL, SH, AR, AI, SG, GR, TG)","Expertises, conseils, vente","Niveau de qualification - Total",8564,6222
"2010","Suisse orientale (GL, SH, AR, AI, SG, GR, TG)","Achat et vente de produits de base et d'équipement","Niveau de qualification - Total",7821,5520
"2010","Suisse orientale (GL, SH, AR, AI, SG, GR, TG)","Vente de biens de consommation, vente au détail","Niveau de qualification - Total",5767,4334
"2010","Suisse orientale (GL, SH, AR, AI, SG, GR, TG)","Recherche et développement","Niveau de qualification - Total",8190,6649
"2010","Suisse orientale (GL, SH, AR, AI, SG, GR, TG)","Analyse, programmation, 'operating'","Niveau de qualification - Total",7812,6352
"2010","Suisse orientale (GL, SH, AR, AI, SG, GR, TG)","Planifier, construire, réaliser, dessiner","Niveau de qualification - Total",7044,5404
"2010","Suisse orientale (GL, SH, AR, AI, SG, GR, TG)","Transp. de personnes et de marchandises, communications","Niveau de qualification - Total",5268,4759
"2010","Suisse orientale (GL, SH, AR, AI, SG, GR, TG)","Services de sécurité, de surveillance","Niveau de qualification - Total",7201,5716( )
"2010","Suisse orientale (GL, SH, AR, AI, SG, GR, TG)","Activités médicales, sociales et dans le domaine des soins","Niveau de qualification - Total",6622,5680
"2010","Suisse orientale (GL, SH, AR, AI, SG, GR, TG)","Soins corporels, nettoyage des vêtements","Niveau de qualification - Total",X,3680
"2010","Suisse orientale (GL, SH, AR, AI, SG, GR, TG)","Nettoyage et hygiène publique","Niveau de qualification - Total",4850,4127
"2010","Suisse orientale (GL, SH, AR, AI, SG, GR, TG)","Activités pédagogiques","Niveau de qualification - Total",8291,6781
"2010","Suisse orientale (GL, SH, AR, AI, SG, GR, TG)","Activités de l'hôtellerie-restauration, économie domestique","Niveau de qualification - Total",4215,3952
"2010","Suisse orientale (GL, SH, AR, AI, SG, GR, TG)","Culture, information, sport, loisirs et divertissements","Niveau de qualification - Total",5262,4772
"2010","Suisse centrale (LU, UR, SZ, OW, NW, ZG)","ACTIVITES PROCHES DE LA PRODUCTION","Niveau de qualification - Total",5878,4383
"2010","Suisse centrale (LU, UR, SZ, OW, NW, ZG)","Fabrication et transformation de produits","Niveau de qualification - Total",5568,4282
"2010","Suisse centrale (LU, UR, SZ, OW, NW, ZG)","Activités de la construction","Niveau de qualification - Total",5894,5296
"2010","Suisse centrale (LU, UR, SZ, OW, NW, ZG)","Mise en service, réglage et maintenance de machines","Niveau de qualification - Total",6293,4563
"2010","Suisse centrale (LU, UR, SZ, OW, NW, ZG)","Restauration, arts manuels","Niveau de qualification - Total",X,X
"2010","Suisse centrale (LU, UR, SZ, OW, NW, ZG)","SERVICES","Niveau de qualification - Total",7077,5244
"2010","Suisse centrale (LU, UR, SZ, OW, NW, ZG)","Définition des buts et de la stratégie de l'entreprise","Niveau de qualification - Total",11694,8805( )
"2010","Suisse centrale (LU, UR, SZ, OW, NW, ZG)","Comptabilité, gestion du personnel","Niveau de qualification - Total",9048,6655
"2010","Suisse centrale (LU, UR, SZ, OW, NW, ZG)","Secrétariat, travaux de chancellerie","Niveau de qualification - Total",6509,5854
"2010","Suisse centrale (LU, UR, SZ, OW, NW, ZG)","Autres activités commerciales et administratives","Niveau de qualification - Total",7552,5728
"2010","Suisse centrale (LU, UR, SZ, OW, NW, ZG)","Logistique, tâches d'état-major","Niveau de qualification - Total",6681,5912( )
"2010","Suisse centrale (LU, UR, SZ, OW, NW, ZG)","Expertises, conseils, vente","Niveau de qualification - Total",9013,6671
"2010","Suisse centrale (LU, UR, SZ, OW, NW, ZG)","Achat et vente de produits de base et d'équipement","Niveau de qualification - Total",8584,6251( )
"2010","Suisse centrale (LU, UR, SZ, OW, NW, ZG)","Vente de biens de consommation, vente au détail","Niveau de qualification - Total",6118,4385
"2010","Suisse centrale (LU, UR, SZ, OW, NW, ZG)","Recherche et développement","Niveau de qualification - Total",8896,6471
"2010","Suisse centrale (LU, UR, SZ, OW, NW, ZG)","Analyse, programmation, 'operating'","Niveau de qualification - Total",8564,7100
"2010","Suisse centrale (LU, UR, SZ, OW, NW, ZG)","Planifier, construire, réaliser, dessiner","Niveau de qualification - Total",7220,5803
"2010","Suisse centrale (LU, UR, SZ, OW, NW, ZG)","Transp. de personnes et de marchandises, communications","Niveau de qualification - Total",5248,4612
"2010","Suisse centrale (LU, UR, SZ, OW, NW, ZG)","Services de sécurité, de surveillance","Niveau de qualification - Total",8225,6324
"2010","Suisse centrale (LU, UR, SZ, OW, NW, ZG)","Activités médicales, sociales et dans le domaine des soins","Niveau de qualification - Total",7077,5636
"2010","Suisse centrale (LU, UR, SZ, OW, NW, ZG)","Soins corporels, nettoyage des vêtements","Niveau de qualification - Total",X,3691
"2010","Suisse centrale (LU, UR, SZ, OW, NW, ZG)","Nettoyage et hygiène publique","Niveau de qualification - Total",4787,4210
"2010","Suisse centrale (LU, UR, SZ, OW, NW, ZG)","Activités pédagogiques","Niveau de qualification - Total",8562,6965
"2010","Suisse centrale (LU, UR, SZ, OW, NW, ZG)","Activités de l'hôtellerie-restauration, économie domestique","Niveau de qualification - Total",4419,4168
"2010","Suisse centrale (LU, UR, SZ, OW, NW, ZG)","Culture, information, sport, loisirs et divertissements","Niveau de qualification - Total",6191,5688( )
"2010","Tessin (TI)","ACTIVITES PROCHES DE LA PRODUCTION","Niveau de qualification - Total",5286,2991
"2010","Tessin (TI)","Fabrication et transformation de produits","Niveau de qualification - Total",4678,2934
"2010","Tessin (TI)","Activités de la construction","Niveau de qualification - Total",5588,X
"2010","Tessin (TI)","Mise en service, réglage et maintenance de machines","Niveau de qualification - Total",5608,5042
"2010","Tessin (TI)","Restauration, arts manuels","Niveau de qualification - Total",X,X
"2010","Tessin (TI)","SERVICES","Niveau de qualification - Total",5793,4605
"2010","Tessin (TI)","Définition des buts et de la stratégie de l'entreprise","Niveau de qualification - Total",11112,8883( )
"2010","Tessin (TI)","Comptabilité, gestion du personnel","Niveau de qualification - Total",7222,5416
"2010","Tessin (TI)","Secrétariat, travaux de chancellerie","Niveau de qualification - Total",5365,4800
"2010","Tessin (TI)","Autres activités commerciales et administratives","Niveau de qualification - Total",6455,4995
"2010","Tessin (TI)","Logistique, tâches d'état-major","Niveau de qualification - Total",5916,4414
"2010","Tessin (TI)","Expertises, conseils, vente","Niveau de qualification - Total",8095,5945
"2010","Tessin (TI)","Achat et vente de produits de base et d'équipement","Niveau de qualification - Total",6627( ),4843( )
"2010","Tessin (TI)","Vente de biens de consommation, vente au détail","Niveau de qualification - Total",4643,4038
"2010","Tessin (TI)","Recherche et développement","Niveau de qualification - Total",6663,5674
"2010","Tessin (TI)","Analyse, programmation, 'operating'","Niveau de qualification - Total",7160,5674( )
"2010","Tessin (TI)","Planifier, construire, réaliser, dessiner","Niveau de qualification - Total",6338,5244
"2010","Tessin (TI)","Transp. de personnes et de marchandises, communications","Niveau de qualification - Total",4901,4690
"2010","Tessin (TI)","Services de sécurité, de surveillance","Niveau de qualification - Total",7054,5393
"2010","Tessin (TI)","Activités médicales, sociales et dans le domaine des soins","Niveau de qualification - Total",6625,5520
"2010","Tessin (TI)","Soins corporels, nettoyage des vêtements","Niveau de qualification - Total",X,3256
"2010","Tessin (TI)","Nettoyage et hygiène publique","Niveau de qualification - Total",3800,3467
"2010","Tessin (TI)","Activités pédagogiques","Niveau de qualification - Total",7302,6500
"2010","Tessin (TI)","Activités de l'hôtellerie-restauration, économie domestique","Niveau de qualification - Total",4122,3675
"2010","Tessin (TI)","Culture, information, sport, loisirs et divertissements","Niveau de qualification - Total",6379,5363( )
