"Année","Grande région","Domaine d'activité","Niveau de qualification","Homme","Femme"
"2002","Espace Mittelland (BE, FR, SO, NE, JU)","Activités pédagogiques","Niveau 3",6058,5604
"2002","Espace Mittelland (BE, FR, SO, NE, JU)","Activités pédagogiques","Niveau 4",X,4109
"2002","Espace Mittelland (BE, FR, SO, NE, JU)","Activités de l'hôtellerie-restauration, économie domestique","Niveau 1+2",4643,3939
"2002","Espace Mittelland (BE, FR, SO, NE, JU)","Activités de l'hôtellerie-restauration, économie domestique","Niveau 3",4040,3714
"2002","Espace Mittelland (BE, FR, SO, NE, JU)","Activités de l'hôtellerie-restauration, économie domestique","Niveau 4",3456,3532
"2002","Espace Mittelland (BE, FR, SO, NE, JU)","Culture, information, sport, loisirs et divertissements","Niveau 1+2",7261,6134
"2002","Espace Mittelland (BE, FR, SO, NE, JU)","Culture, information, sport, loisirs et divertissements","Niveau 3",5506,4478
"2002","Espace Mittelland (BE, FR, SO, NE, JU)","Culture, information, sport, loisirs et divertissements","Niveau 4",4645,4153
"2002","Suisse du Nord-Ouest (BS, BL, AG)","ACTIVITES PROCHES DE LA PRODUCTION","Niveau 1+2",6051,5092
"2002","Suisse du Nord-Ouest (BS, BL, AG)","ACTIVITES PROCHES DE LA PRODUCTION","Niveau 3",5496,4406
"2002","Suisse du Nord-Ouest (BS, BL, AG)","ACTIVITES PROCHES DE LA PRODUCTION","Niveau 4",4792,3705
"2002","Suisse du Nord-Ouest (BS, BL, AG)","Fabrication et transformation de produits","Niveau 1+2",6047,4517
"2002","Suisse du Nord-Ouest (BS, BL, AG)","Fabrication et transformation de produits","Niveau 3",5469,4297
"2002","Suisse du Nord-Ouest (BS, BL, AG)","Fabrication et transformation de produits","Niveau 4",4752,3671
"2002","Suisse du Nord-Ouest (BS, BL, AG)","Activités de la construction","Niveau 1+2",6035,X
"2002","Suisse du Nord-Ouest (BS, BL, AG)","Activités de la construction","Niveau 3",5307,4752
"2002","Suisse du Nord-Ouest (BS, BL, AG)","Activités de la construction","Niveau 4",4784,X
"2002","Suisse du Nord-Ouest (BS, BL, AG)","Mise en service, réglage et maintenance de machines","Niveau 1+2",6127,6258
"2002","Suisse du Nord-Ouest (BS, BL, AG)","Mise en service, réglage et maintenance de machines","Niveau 3",5955,4832
"2002","Suisse du Nord-Ouest (BS, BL, AG)","Mise en service, réglage et maintenance de machines","Niveau 4",5082,4098
"2002","Suisse du Nord-Ouest (BS, BL, AG)","Restauration, arts manuels","Niveau 1+2",X,X
"2002","Suisse du Nord-Ouest (BS, BL, AG)","Restauration, arts manuels","Niveau 3",X,X
"2002","Suisse du Nord-Ouest (BS, BL, AG)","Restauration, arts manuels","Niveau 4",X,X
"2002","Suisse du Nord-Ouest (BS, BL, AG)","SERVICES","Niveau 1+2",8293,6085
"2002","Suisse du Nord-Ouest (BS, BL, AG)","SERVICES","Niveau 3",5777,4781
"2002","Suisse du Nord-Ouest (BS, BL, AG)","SERVICES","Niveau 4",4395,3968
"2002","Suisse du Nord-Ouest (BS, BL, AG)","Définition des buts et de la stratégie de l'entreprise","Niveau 1+2",11505,9710
"2002","Suisse du Nord-Ouest (BS, BL, AG)","Définition des buts et de la stratégie de l'entreprise","Niveau 3",6936,5661
"2002","Suisse du Nord-Ouest (BS, BL, AG)","Définition des buts et de la stratégie de l'entreprise","Niveau 4",X,X
