"Année","Grande région","Formation","Position professionnelle","Homme Médiane","Femme Médiane"
"2006","Espace Mittelland (BE, FR, SO, NE, JU)","Formation prof. supérieure, écoles sup.","Position professionnelle - Total",7749,6763
"2006","Espace Mittelland (BE, FR, SO, NE, JU)","Brevet d'enseignement","Position professionnelle - Total",7390,5946
"2006","Espace Mittelland (BE, FR, SO, NE, JU)","Maturité","Position professionnelle - Total",6684,5232
"2006","Espace Mittelland (BE, FR, SO, NE, JU)","Apprentissage complet (CFC)","Position professionnelle - Total",5675,4916
"2006","Espace Mittelland (BE, FR, SO, NE, JU)","Formation acquise en entreprise","Position professionnelle - Total",5395,4286
"2006","Espace Mittelland (BE, FR, SO, NE, JU)","Sans formation prof. complète","Position professionnelle - Total",4739,3939
"2006","Espace Mittelland (BE, FR, SO, NE, JU)","Autres formations complètes","Position professionnelle - Total",5053,4052
"2006","Suisse du Nord-Ouest (BS, BL, AG)","Haute école universitaire (UNI, EPF)","Position professionnelle - Total",10943,8938
"2006","Suisse du Nord-Ouest (BS, BL, AG)","Haute école spécialisée (HES), HEP","Position professionnelle - Total",9411,7447
"2006","Suisse du Nord-Ouest (BS, BL, AG)","Formation prof. supérieure, écoles sup.","Position professionnelle - Total",8157,6861
"2006","Suisse du Nord-Ouest (BS, BL, AG)","Brevet d'enseignement","Position professionnelle - Total",7275,6667
"2006","Suisse du Nord-Ouest (BS, BL, AG)","Maturité","Position professionnelle - Total",6893,5871
"2006","Suisse du Nord-Ouest (BS, BL, AG)","Apprentissage complet (CFC)","Position professionnelle - Total",5960,5146
"2006","Suisse du Nord-Ouest (BS, BL, AG)","Formation acquise en entreprise","Position professionnelle - Total",5703,4825
"2006","Suisse du Nord-Ouest (BS, BL, AG)","Sans formation prof. complète","Position professionnelle - Total",4863,3984
"2006","Suisse du Nord-Ouest (BS, BL, AG)","Autres formations complètes","Position professionnelle - Total",5276,4334
"2006","Zurich (ZH)","Haute école universitaire (UNI, EPF)","Position professionnelle - Total",10755,8342
"2006","Zurich (ZH)","Haute école spécialisée (HES), HEP","Position professionnelle - Total",9772,7620
"2006","Zurich (ZH)","Formation prof. supérieure, écoles sup.","Position professionnelle - Total",8767,6933
"2006","Zurich (ZH)","Brevet d'enseignement","Position professionnelle - Total",7813,6184
"2006","Zurich (ZH)","Maturité","Position professionnelle - Total",8441,6385
"2006","Zurich (ZH)","Apprentissage complet (CFC)","Position professionnelle - Total",6190,5237
"2006","Zurich (ZH)","Formation acquise en entreprise","Position professionnelle - Total",5525,4332
"2006","Zurich (ZH)","Sans formation prof. complète","Position professionnelle - Total",4952,4110
"2006","Zurich (ZH)","Autres formations complètes","Position professionnelle - Total",5207,4361
"2006","Suisse orientale (GL, SH, AR, AI, SG, GR, TG)","Haute école universitaire (UNI, EPF)","Position professionnelle - Total",9997,7642
"2006","Suisse orientale (GL, SH, AR, AI, SG, GR, TG)","Haute école spécialisée (HES), HEP","Position professionnelle - Total",8784,7039
"2006","Suisse orientale (GL, SH, AR, AI, SG, GR, TG)","Formation prof. supérieure, écoles sup.","Position professionnelle - Total",7643,6361
"2006","Suisse orientale (GL, SH, AR, AI, SG, GR, TG)","Brevet d'enseignement","Position professionnelle - Total",6658,6240
"2006","Suisse orientale (GL, SH, AR, AI, SG, GR, TG)","Maturité","Position professionnelle - Total",6283,4803
"2006","Suisse orientale (GL, SH, AR, AI, SG, GR, TG)","Apprentissage complet (CFC)","Position professionnelle - Total",5608,4608
"2006","Suisse orientale (GL, SH, AR, AI, SG, GR, TG)","Formation acquise en entreprise","Position professionnelle - Total",5312,4221
"2006","Suisse orientale (GL, SH, AR, AI, SG, GR, TG)","Sans formation prof. complète","Position professionnelle - Total",4752,3809
"2006","Suisse orientale (GL, SH, AR, AI, SG, GR, TG)","Autres formations complètes","Position professionnelle - Total",4850,3756
"2006","Suisse centrale (LU, UR, SZ, OW, NW, ZG)","Haute école universitaire (UNI, EPF)","Position professionnelle - Total",11285,8022
"2006","Suisse centrale (LU, UR, SZ, OW, NW, ZG)","Haute école spécialisée (HES), HEP","Position professionnelle - Total",9342,8126
"2006","Suisse centrale (LU, UR, SZ, OW, NW, ZG)","Formation prof. supérieure, écoles sup.","Position professionnelle - Total",7927,6829
"2006","Suisse centrale (LU, UR, SZ, OW, NW, ZG)","Brevet d'enseignement","Position professionnelle - Total",6653,6143
"2006","Suisse centrale (LU, UR, SZ, OW, NW, ZG)","Maturité","Position professionnelle - Total",6190,5244
"2006","Suisse centrale (LU, UR, SZ, OW, NW, ZG)","Apprentissage complet (CFC)","Position professionnelle - Total",5641,4815
"2006","Suisse centrale (LU, UR, SZ, OW, NW, ZG)","Formation acquise en entreprise","Position professionnelle - Total",5452,4073
"2006","Suisse centrale (LU, UR, SZ, OW, NW, ZG)","Sans formation prof. complète","Position professionnelle - Total",4763,3828
"2006","Suisse centrale (LU, UR, SZ, OW, NW, ZG)","Autres formations complètes","Position professionnelle - Total",4627,4018
"2006","Tessin (TI)","Haute école universitaire (UNI, EPF)","Position professionnelle - Total",8950,6500
"2006","Tessin (TI)","Haute école spécialisée (HES), HEP","Position professionnelle - Total",7433,5921
"2006","Tessin (TI)","Formation prof. supérieure, écoles sup.","Position professionnelle - Total",6458,5304
"2006","Tessin (TI)","Brevet d'enseignement","Position professionnelle - Total",5895,5460
"2006","Tessin (TI)","Maturité","Position professionnelle - Total",5796,4830
"2006","Tessin (TI)","Apprentissage complet (CFC)","Position professionnelle - Total",5260,4662
"2006","Tessin (TI)","Formation acquise en entreprise","Position professionnelle - Total",4737,3405
"2006","Tessin (TI)","Sans formation prof. complète","Position professionnelle - Total",4394,3203
"2006","Tessin (TI)","Autres formations complètes","Position professionnelle - Total",4812,3677
"2008","Région lémanique (VD, VS, GE)","Haute école universitaire (UNI, EPF)","Position professionnelle - Total",11589,8405
"2008","Région lémanique (VD, VS, GE)","Haute école spécialisée (HES), HEP","Position professionnelle - Total",9341,7596
"2008","Région lémanique (VD, VS, GE)","Formation prof. supérieure, écoles sup.","Position professionnelle - Total",8125,6728
"2008","Région lémanique (VD, VS, GE)","Brevet d'enseignement","Position professionnelle - Total",6262,6007
"2008","Région lémanique (VD, VS, GE)","Maturité","Position professionnelle - Total",7333,6229
"2008","Région lémanique (VD, VS, GE)","Apprentissage complet (CFC)","Position professionnelle - Total",5956,5294
"2008","Région lémanique (VD, VS, GE)","Formation acquise en entreprise","Position professionnelle - Total",5357,4294
"2008","Région lémanique (VD, VS, GE)","Sans formation prof. complète","Position professionnelle - Total",4765,3873
"2008","Région lémanique (VD, VS, GE)","Autres formations complètes","Position professionnelle - Total",6157,5379
"2008","Espace Mittelland (BE, FR, SO, NE, JU)","Haute école universitaire (UNI, EPF)","Position professionnelle - Total",10649,8125
"2008","Espace Mittelland (BE, FR, SO, NE, JU)","Haute école spécialisée (HES), HEP","Position professionnelle - Total",9096,7302
"2008","Espace Mittelland (BE, FR, SO, NE, JU)","Formation prof. supérieure, écoles sup.","Position professionnelle - Total",7973,6804
"2008","Espace Mittelland (BE, FR, SO, NE, JU)","Brevet d'enseignement","Position professionnelle - Total",6552,6194
"2008","Espace Mittelland (BE, FR, SO, NE, JU)","Maturité","Position professionnelle - Total",6404,5308
"2008","Espace Mittelland (BE, FR, SO, NE, JU)","Apprentissage complet (CFC)","Position professionnelle - Total",5816,5073
"2008","Espace Mittelland (BE, FR, SO, NE, JU)","Formation acquise en entreprise","Position professionnelle - Total",5558,4333
"2008","Espace Mittelland (BE, FR, SO, NE, JU)","Sans formation prof. complète","Position professionnelle - Total",4913,4196
"2008","Espace Mittelland (BE, FR, SO, NE, JU)","Autres formations complètes","Position professionnelle - Total",5465,4154
"2008","Suisse du Nord-Ouest (BS, BL, AG)","Haute école universitaire (UNI, EPF)","Position professionnelle - Total",11260,9307
"2008","Suisse du Nord-Ouest (BS, BL, AG)","Haute école spécialisée (HES), HEP","Position professionnelle - Total",9544,7240
"2008","Suisse du Nord-Ouest (BS, BL, AG)","Formation prof. supérieure, écoles sup.","Position professionnelle - Total",8299,6953
"2008","Suisse du Nord-Ouest (BS, BL, AG)","Brevet d'enseignement","Position professionnelle - Total",7100,6810
"2008","Suisse du Nord-Ouest (BS, BL, AG)","Maturité","Position professionnelle - Total",7030,6032
"2008","Suisse du Nord-Ouest (BS, BL, AG)","Apprentissage complet (CFC)","Position professionnelle - Total",6075,5234
"2008","Suisse du Nord-Ouest (BS, BL, AG)","Formation acquise en entreprise","Position professionnelle - Total",5963,4667
"2008","Suisse du Nord-Ouest (BS, BL, AG)","Sans formation prof. complète","Position professionnelle - Total",4991,4159
"2008","Suisse du Nord-Ouest (BS, BL, AG)","Autres formations complètes","Position professionnelle - Total",6224,4715( )
"2008","Zurich (ZH)","Haute école universitaire (UNI, EPF)","Position professionnelle - Total",11413,8708
"2008","Zurich (ZH)","Haute école spécialisée (HES), HEP","Position professionnelle - Total",9989,7805
"2008","Zurich (ZH)","Formation prof. supérieure, écoles sup.","Position professionnelle - Total",9067,7422
"2008","Zurich (ZH)","Brevet d'enseignement","Position professionnelle - Total",8513,7329
"2008","Zurich (ZH)","Maturité","Position professionnelle - Total",8000,5777
"2008","Zurich (ZH)","Apprentissage complet (CFC)","Position professionnelle - Total",6286,5231
"2008","Zurich (ZH)","Formation acquise en entreprise","Position professionnelle - Total",5701,4555
"2008","Zurich (ZH)","Sans formation prof. complète","Position professionnelle - Total",4891,4227
"2008","Zurich (ZH)","Autres formations complètes","Position professionnelle - Total",5229,4195
"2008","Suisse orientale (GL, SH, AR, AI, SG, GR, TG)","Haute école universitaire (UNI, EPF)","Position professionnelle - Total",10317,7635
"2008","Suisse orientale (GL, SH, AR, AI, SG, GR, TG)","Haute école spécialisée (HES), HEP","Position professionnelle - Total",8923,6686
"2008","Suisse orientale (GL, SH, AR, AI, SG, GR, TG)","Formation prof. supérieure, écoles sup.","Position professionnelle - Total",7831,6485
"2008","Suisse orientale (GL, SH, AR, AI, SG, GR, TG)","Brevet d'enseignement","Position professionnelle - Total",6645,6818
"2008","Suisse orientale (GL, SH, AR, AI, SG, GR, TG)","Maturité","Position professionnelle - Total",5917,4974
"2008","Suisse orientale (GL, SH, AR, AI, SG, GR, TG)","Apprentissage complet (CFC)","Position professionnelle - Total",5686,4729
"2008","Suisse orientale (GL, SH, AR, AI, SG, GR, TG)","Formation acquise en entreprise","Position professionnelle - Total",5300,4165
"2008","Suisse orientale (GL, SH, AR, AI, SG, GR, TG)","Sans formation prof. complète","Position professionnelle - Total",4911,3871
